interest,scoring_low,monthly_payment,f1,f2,earlies_credit_mon,region,class,total_loan,initial_list_status,employer_type,f4,user_id,use,is_default,pub_dero_bankrup,f0,censor_status,industry,scoring_high,work_year,debt_loan_ratio,policy_code,f3,title,year_of_loan,del_in_18month,recircle_u,early_return_amount_3mon,recircle_b,early_return,loan_id,post_code,early_return_amount,house_exist,issue_date_y,issue_date_m,issue_date_diff
11.466,556.3636364,1174.91,0.0,4.0,1-Dec,13,2,31818.181819999998,0,1,4.0,240418,2,0,0.0,1.0,1,0,649.0909091,3,2.43,1,5.0,5,3,0,91.8,0.0,7734.230769,3,1040418,193,9927,0,2016,10,3410
16.840999999999998,715.0,670.69,0.0,4.0,Apr-90,30,2,28000.0,1,1,22.0,225197,0,0,0.0,7.0,2,0,893.75,10,11.00454545,1,45.0,40642,5,1,54.8,0.0,31329.0,0,1025197,491,0,0,2013,6,2192
8.9,774.5454545,603.32,0.0,6.0,Oct-91,8,0,17272.72727,1,1,19.0,209360,4,0,0.0,6.0,0,2,903.6363636,10,6.409090909,1,28.0,154,3,0,57.69230769,0.0,18514.0,0,1009360,459,0,1,2014,1,2406
4.788,750.0,602.3,0.0,10.0,1-Jun,8,0,20000.0,0,4,9.0,239708,0,0,0.0,5.0,1,5,875.0,6,9.204545455,1,15.0,0,3,0,42.6,0.0,20707.0,0,1039708,157,0,0,2015,7,2952
12.79,609.0909091,470.31,0.0,6.0,2-May,21,2,15272.72727,0,1,4.0,227483,0,0,0.0,10.0,1,4,710.6060606000001,0,15.57818182,1,15.0,0,3,0,30.46153846,0.0,14016.15385,0,1027483,38,0,2,2016,7,3318
10.637,636.3636364,899.15,0.0,6.0,Jan-83,8,1,25454.54545,0,2,15.0,247529,0,0,0.0,6.0,1,4,689.3939393999999,10,15.80727273,1,20.0,28,3,0,58.89230769,0.0,16084.92308,0,1047529,258,0,0,2013,11,2345
15.741,600.0,234.3,0.0,9.0,2-Oct,17,2,9090.909091,0,5,6.0,230964,0,0,1.0,4.0,2,0,650.0,10,4.243636363999999,1,25.0,0,5,1,17.01538462,0.0,1527.076923,0,1030964,58,0,1,2014,12,2740
11.49,690.0,414.62,0.0,0.0,8-Oct,8,1,10288.636359999999,0,0,9.0,224822,4,0,0.0,4.0,1,11,805.0,2,2.227272727,1,9.0,4,3,0,34.7,0.0,5082.0,0,1024822,242,0,1,2017,3,3561
20.064,600.0,272.05,0.0,2.0,Nov-71,17,3,6818.181818000001,0,0,22.0,208720,0,0,1.0,6.0,2,0,750.0,10,22.93090909,1,34.0,0,3,0,88.61538462,0.0,18810.0,0,1008720,165,0,0,2014,7,2587
14.33,564.5454545,339.95,0.0,15.0,1-Dec,0,2,10800.0,0,2,6.0,245305,0,0,0.0,3.0,1,3,705.6818182,4,21.22363636,1,6.0,37768,3,0,93.34615385,0.0,3433.846154,0,1045305,263,0,1,2013,7,2222
12.897,636.3636364,421.92,0.0,8.0,4-Jul,11,2,14727.27273,1,1,9.0,207760,0,0,0.0,4.0,1,6,689.3939393999999,3,24.5,1,11.0,35995,5,0,69.1,0.0,27758.76923,0,1007760,14,0,1,2013,7,2222
20.889,725.4545455,234.57,0.0,6.0,Aug-91,5,4,6400.0,1,2,9.0,242906,0,0,0.0,3.0,2,0,906.8181818,10,37.56,1,16.0,0,3,1,69.57692308,0.0,13980.0,0,1042906,296,0,2,2014,10,2679
6.489,668.1818182,1115.04,0.0,24.0,May-91,12,0,29454.54545,0,1,10.0,247890,0,0,0.0,8.0,1,1,779.5454545,0,29.72454545,1,30.0,0,3,0,48.34615385,0.0,31375.07692,0,1047890,49,0,2,2017,10,3775
17.090999999999998,660.0,65.98,0.0,6.0,3-Aug,9,3,1636.363636,0,0,2.0,249951,0,1,0.0,3.0,1,3,770.0,10,23.14,1,4.0,0,3,0,108.7692308,0.0,5049.0,0,1049951,255,0,1,2016,5,3257
15.290999999999999,685.0,429.24,0.0,10.0,2-Feb,14,3,20415.90909,0,0,6.0,243543,0,0,0.0,3.0,0,1,799.1666667000001,10,29.40909091,1,9.0,0,5,0,82.3,0.0,21566.53846,0,1043543,408,0,0,2015,7,2952
12.62,605.4545455,184.32,0.0,6.0,Dec-89,8,2,5500.0,0,0,4.0,220746,0,0,0.0,4.0,0,3,706.3636364,10,36.76363636,1,9.0,0,3,1,29.26153846,0.0,7252.0,0,1020746,549,0,1,2018,2,3898
